Feature,Importance,Importance %
Clock_Speed_GHz,0.15202544485459948,15.20254448545995
RAM Size GB,0.09565964051181079,9.56596405118108
Resolution_Height,0.08502250702222698,8.502250702222698
NFC_Encoded,0.08117707632132079,8.11770763213208
Storage Size GB,0.07755811864329767,7.755811864329767
rating,0.07606122892293571,7.606122892293571
Performance_Tier_Encoded,0.05838496060832279,5.838496060832279
brand_encoded_label,0.05715473714933899,5.715473714933899
fast_charging_power,0.0420467219927217,4.20467219927217
primary_front_camera_mp,0.0404596297761551,4.045962977615511
Screen_Size,0.03957903006639193,3.9579030066391927
battery_capacity,0.03708958463418997,3.7089584634189974
Refresh_Rate,0.03284333364807236,3.284333364807236
5G_Encoded,0.022340979095907192,2.2340979095907194
primary_rear_camera_mp,0.018158457033961548,1.8158457033961548
num_rear_cameras,0.011143799312836001,1.1143799312836
memory_card_support_Encoded,0.009899496109249898,0.9899496109249898
RAM_Tier_Encoded,0.009074612983264195,0.9074612983264195
os_version_label,0.008701402509607388,0.8701402509607388
Processor_Brand_Encoded,0.008597077397429471,0.8597077397429471
storage_gb,0.00768355298138778,0.768355298138778
Notch_Type_Encoded,0.006049998183777808,0.6049998183777808
os_name_Encoded,0.0054079017635945215,0.5407901763594521
Core_Count,0.005148836220952652,0.5148836220952653
num_front_cameras,0.004882446052585783,0.4882446052585783
IR_Blaster_Encoded,0.003634008738351765,0.3634008738351765
Dual_Sim_Encoded,0.003074616883746015,0.30746168837460147
Vo5G_Encoded,0.0008958226553310327,0.08958226553310328
4G_Encoded,0.00024497792663278234,0.024497792663278235
Resolution_Width,0.0,0.0
